name,content
간성뇌증,간성뇌증 머리    간에 생긴 건강문제로 인해 해독 기능을 할 수 없어 암모니아가 과도하게 축적되어 나타나는 정신 이상 상태
강박증,"강박증 머리    자신의 의지와 상관없이 반복적으로 불안감, 불쾌감 등이 떠올라 특정 행동이나 사고를 반복하는 증상"
건망증,"건망증 머리    기억력에 장애가 생겨 금방 잊어버리거나, 드문 드문 기억하거나 또는 어떤 일정한 시기 이전의 일을 기억하지 못하는 증상"
고산병,"고산병 머리 전신   고산병은 해발 2,440 m 이상의 고지에에 올라갔을 때 산소가 부족해서 발생하는 증상으로 두통, 오심, 구토, 피로, 전신쇠약, 어지럼증, 현기증, 수면장애 등이 발생하게 됩니다. "
광대뼈 위치 이상,광대뼈 위치 이상 머리    뺨과 관자놀이 사이의 광대뼈가 외상에 의해 원래의 위치가 아닌 곳으로 이동한 것
기민상태,"기민상태 머리    자극이 없어도 깨어나고 시각적, 청각적, 촉각적 자극에 즉각 반응하는 상태"
기억장애,기억장애 머리    기억력에 문제가 생겨 잘 기억하지 못하는 상태
깨어나면 기억하지 못함,깨어나면 기억하지 못함 머리    기절이나 수면 이후 이전의 일을 기억하지 못하는 것
"납작한 코, 축 쳐진 귀","납작한 코, 축 쳐진 귀 머리    빈칸"
낮 시간대의 졸음,낮 시간대의 졸음 머리    낮 시간동안 병적으로 잠이 오는 상태
낮은 지능,낮은 지능 머리    빈칸
낮은 학업 성취,낮은 학업 성취 머리    학교 성적이 나빠지거나 지능 발달이 늦음 
내분비계이상,내분비계이상 머리    내분비샘 또는 상위 기관에 생긴 병적 문제로 호르몬 분비 이상이 생긴 상태
놀란표정,놀란표정 머리    눈이 튀어나와 마치 놀란 것 처럼 보이는 것
놀람반사의 약화,놀람반사의 약화 머리    신생아가 소음이나 갑작스런 자극에 대해 놀라거나 팔과 다리를 뻗고 주먹을 꽉 쥐고 포옹을 하듯이 팔을 다시 끌어당기는 행동이 약함 
뇌부종,뇌부종 머리    외상이나 종양 등의 건강문제로 인하여 뇌의 부피가 커진 상태
뇌수종,뇌수종 머리    뇌에 과도한 뇌척수액이 있는 상태
뇌압상승증상,"뇌압상승증상 머리    외상이나 종양,염증 등의 건강문제로 인하여 뇌의 부피가 커지면서 압력이 증가하여 두통, 구토, 오심, 의식장애 등의 증상이 나타나는 상태"
뇌염증상,"뇌염증상 머리    어떤 원인에 의해 두통, 발열, 오한, 구토, 의식 저하, 경련 등의 증상을 보이는 상태"
뇌출혈,뇌출혈 머리    뇌 속에 있는 혈관이 여러가지 원인에 의해 터져서 혈액이 혈관 외부로 유출된 것
달모양의 둥근 얼굴,달모양의 둥근 얼굴 머리    지방의 축적으로 열굴형이 달처럼 둥글어짐
두부 외상,두부 외상 머리    머리를 다쳤어요
두통,두통 머리    머리에서 느껴지는 통증
두피 건조,두피 건조 머리    머리카락 안쪽의 피부가 건조함
두피 열상,두피 열상 머리    머리가 찢어졌어요
만성 부비동염,만성 부비동염 머리    코 옆에 위치한 부비동에 세균이나 바이러스가 침투하여 염증이 발생한 것
머리모양 변형,머리모양 변형 머리    두개골의 모양이 변함
모발 탈색,모발 탈색 머리    모발의 빛이 바램
모발이 가늘어짐,모발이 가늘어짐 머리    머리카락의 굵기가 얇음
모발이 거침,모발이 거침 머리    머리카락이 갈라지거나 손상을 입어 거칠어진 상태
무균성 뇌막염,무균성 뇌막염 머리    세균이 아닌 다른 원인에 의해 뇌수막에 생긴 염증
무의식,무의식 머리    자신의 상태를 스스로 알지 못하는 것
박동성 통증,박동성 통증 머리    머리에 맥박이 뛰는 것 같이 느껴지는 통증
방향감각 상실,"방향감각 상실 머리    좌, 우, 상, 하 의 감각이 없어짐"
"볼, 눈주위 움푹 꺼짐","볼, 눈주위 움푹 꺼짐 머리    피하지방층이 감소하여 눈 주변과 볼살이 꺼진 것처럼 보임"
볼이 처짐,볼이 처짐 머리    볼살이 아래로 쳐진 상태
비웃는 듯한 표정,비웃는 듯한 표정 머리    자신의 의지와 상관없이 안면 근육이 수축되어 비웃는 것과 같은 표정이 지어짐
"삐뚤어진 눈, 코, 입","삐뚤어진 눈, 코, 입 머리    얼굴 가운데 중심선 기준으로 좌우 대칭이 맞지 않는 눈, 코, 입 상태"
수막자극증상,"수막자극증상 머리    뇌를 둘러싸고 있는 막 중 지주막하 공간에 염증이 생긴 경우 나타나는 두통, 열, 구토, 목 부위 경직, 실신 등의 증상"
실인증,실인증 머리    감각 기관의 손상은 없으나 대뇌 일부의 손상으로 대상에 대한 인식이 안되는 상태
실행증,실행증 머리    감각 기관이나 운동 능력에 손상은 없으나 대뇌 일부의 손상으로 지시에 따른 행동이나 운동을 하지 못하는 상태
안면 변형,안면 변형 머리    얼굴 모양이 구조적인 변화가 있음
