,symtom
0,"4,5번째 손가락 굽음"
1,O자 다리
2,PSA상승
3,X자 다리
4,가늘어지는 팔다리
5,가래
6,가슴 답답
7,가슴 두근거림
8,가슴 쓰림
9,가슴 통증
10,가학증
11,각막 위로 결막 침범
12,각막 이상
13,각질이 딱딱해짐
14,간기능 저하
15,간부전
16,간비대
17,간성뇌증
18,갈색 피부 반점
19,갈증
20,갈퀴족지
21,감각 과민
22,감각 이상
23,감기 증상
24,감전이 됐어요
25,감정 변화
26,갑상선 비대
27,갑상선이 단단해짐
28,강박증
29,개 폐구 장애
30,객혈
31,갱년기 증상
32,거대자궁
33,거대지증
34,거인증
35,거짓 증상 호소
36,거칠어진 피부
37,거품이 섞인 가래
38,거품있는 소변
39,건망증
40,걸핏하면 눈물지음
41,검붉은 색 피부
42,검은 점
43,검은색 가래
44,겨드랑이 멍울
45,겨드랑이 악취
46,격동적 움직임
47,결막염
48,결절
49,경계 불규칙성
50,경련
51,경부 강직
52,경부 림프절병증
53,경부 운동 제한
54,경정맥 확장
55,경직
56,고름
57,고막 충혈
58,고막에 수포형성
59,고산병
60,고음에서의 분열
61,고정된 믿음
62,고탄산증
63,고혈당
64,고혈압
65,고환 멍울
66,고환 불쾌감
67,고환 위축
68,고환에 낭이 만져짐
69,곤봉지
70,골다공증
71,골반 통증
72,골수 내 적혈구의 감소
73,골절
74,골절부 근육의 경직
75,공복감
76,과호흡
77,관련 장기의 일시적 기능장애
78,관음증
79,관절 구축
80,관절 불안정증
81,관절 운동성 감소
82,관절염
83,관절의 경직
84,관절잡음
85,관절통
86,괄약근 기능 이상
87,광과민성
88,광대뼈 위치 이상
89,광시증
90,괴사
91,구각염
92,구강건조
93,구강궤양
94,구강호흡
95,구내염
96,구루병
97,구취
98,구토
99,굳은 살
100,굽은 등
101,권리를 강하게 주장
102,권태감
103,궤양
104,귀 모양의 변형
105,귀 상부가 두피에 매몰됨
106,귀두가 울혈됨
107,귀두의 탈색
108,귀에서 냄새가 남
109,귀의 통증
110,근골격계 이상
111,근긴장의 이상
112,근력 약화
113,근시
114,근위축
115,근육강직
116,근육경련
117,근육긴장
118,근육마비
119,근육의 뒤틀림
120,근육통
121,글자가 휘어져보임
122,금단증상
123,급성 신부전
124,기립성 저혈압
125,기민상태
126,기억장애
127,기운없음
128,기침
129,긴박뇨
130,긴장
131,깨어나면 기억하지 못함
132,나쁜 품행
133,낙상
134,난청
135,남: 9세 전 2차 성징
136,남성스러운 목소리
137,남성의 여성형 유방
138,"납작한 코, 축 쳐진 귀"
139,낭종
140,낮 시간대의 졸음
141,낮은 자존감
